mass;intensity;brutto;N_COOH;N_OH_total;N_OH;missing_dmet;missing_dacet
204.064668648544;1000.0;C9H9O2N4;1;1;1;[];[]
214.0741734295203;1000.0;C12H11O2N2;1;1;1;[];[]
217.13145744391468;1000.0;C10H20O4N;1;1;1;[];[]
228.09980435553808;1000.0;C11H17O5;1;1;1;[];[]
231.08954644668205;1000.0;C13H14O3N;1;2;2;[];[]
239.11574339105528;1000.0;C12H18O4N;1;1;1;[];[]
249.08616550023885;1000.0;C10H12O3N5;1;1;1;[];[]
270.0528076169268;1000.0;C15H11O5;1;1;1;[];[]
276.095768142506;1000.0;C10H17O7N2;1;3;3;[];[]
292.0948128653258;1000.0;C15H17O6;1;1;1;[];[]
300.2089450533321;1000.0;C20H29O2;1;1;1;[];[]
326.1701712765568;1000.0;C13H23O4N6;1;1;1;[];[]
343.17014119930366;1000.0;C10H26O8N5;4;4;4;[];[]
370.3083285193643;1000.0;C22H43O4;1;1;1;[];[]
390.3133623444943;1000.0;C25H43O3;1;1;1;[];[]
395.1481701210872;1000.0;C21H22O5N3;1;1;1;[];[]
416.31377249160346;1000.0;C23H45O6;1;1;1;[];[]
434.3396410749352;1000.0;C27H47O4;1;3;3;[];[]
462.1961271449079;1000.0;C18H31O10N4;2;3;3;[];[]
475.1813466123743;1000.0;C21H32O12;1;3;3;[];[]
535.37341019116;1000.0;C28H50O5N5;2;2;2;[];[]
537.1973028385618;1000.0;C26H34O12;2;3;3;[];[]
579.2176969008764;1000.0;C25H34O11N5;1;2;2;[];[]
583.2316956512517;1000.0;C33H34O7N3;2;2;2;[];[]
